track_id,lat,lon,speed,lon_acc,lat_acc,time
1,37.977391,23.737688,4.9178,0.0518,-0.0299,0.0
2,37.977642,23.7374,16.9759,-0.0361,-0.0228,0.0
3,37.977997,23.737264,20.1906,-0.0795,-0.3395,0.0
4,37.978135,23.737072,2.7555,-0.0302,0.0948,0.0
5,37.978134,23.737103,0.0,0.0,0.0,0.0
6,37.978152,23.73712,0.0,0.0,0.0,0.0
7,37.978145,23.737161,0.0,0.0,0.0,0.0
8,37.97823,23.737089,0.0,0.0,0.0,0.0
9,37.978185,23.737128,0.0,0.0,0.0,0.0
10,37.97819,23.73705,4.0538,0.1084,-0.0,0.0
11,37.978323,23.737009,16.7265,0.1511,-0.0366,0.0
12,37.978151,23.737094,0.0,0.0,0.0,0.0
13,37.97814,23.737088,0.0,0.0,0.0,0.0
14,37.97839,23.736929,20.9192,0.1948,0.0072,0.0
15,37.978621,23.736722,29.6883,0.3446,-0.0215,0.0
16,37.978729,23.736634,25.5247,-0.0275,0.0918,0.0
17,37.978713,23.736705,32.5218,0.6775,0.0502,0.0
18,37.977925,23.737205,0.0,0.0,0.0,0.0
19,37.978829,23.736359,0.0,0.0,0.0,0.0
20,37.97882,23.736572,29.6666,0.0448,-0.0101,0.0
21,37.978868,23.736575,26.33,-0.2064,0.0134,0.0
22,37.978922,23.736491,20.5704,0.0066,-0.0176,0.0
23,37.978998,23.736384,25.6994,-0.0273,0.0882,0.0
24,37.979188,23.736275,18.7586,-0.1547,-0.0069,0.0
25,37.979514,23.73604,36.5054,-0.0475,0.0119,0.0
26,37.979541,23.735943,33.593,-0.2102,-0.021,0.0
27,37.979592,23.735941,30.9864,-0.022,0.0048,0.0
28,37.979758,23.735767,36.7325,0.2051,-0.0693,0.0
29,37.979771,23.735778,42.3985,-0.0494,0.003,0.0
30,37.979791,23.735775,57.1184,0.2647,0.1003,0.0
31,37.979878,23.735707,35.892,-0.0474,-0.0038,0.0
32,37.979949,23.735613,29.3152,-0.179,-0.0253,0.0
33,37.980003,23.735585,38.69,-0.1719,0.0525,0.0
34,37.980049,23.735569,27.8645,-0.1613,-0.0157,0.0
35,37.980128,23.735504,27.7363,-0.0973,0.0208,0.0
36,37.980108,23.735478,30.34,-0.1984,0.0549,0.0
37,37.980011,23.735534,31.759,-0.1613,-0.1155,0.0
38,37.979679,23.735907,40.2222,-0.4382,-0.0977,0.0
39,37.979792,23.73581,31.3208,-0.0871,0.0038,0.0
40,37.979884,23.735748,30.5834,-0.1087,0.0245,0.0
41,37.979132,23.73636,19.2908,-0.1347,-0.0003,0.0
42,37.979702,23.73577,41.0043,0.0288,0.0025,0.0
43,37.980172,23.735404,40.1999,0.0442,-0.0001,0.0
44,37.980216,23.735386,24.8896,-0.22,-0.0484,0.0
45,37.980189,23.73549,28.8933,-0.0355,-0.0998,0.0
